,Song,Album Debut,Songwriter(s),Lead Vocal(s),Year,Lyrics
12,"""Baby, You're a Rich Man""",Magical Mystery Tour,Lennon-McCartney,Lennon,1967,"How does it feel to be One of the beautiful people Now that you know who you are What do you want to be And have you traveled very far Far as the eye can see How does it feel to be One of the beautiful people How often have you been there Often enough to know What did you see when you were there Nothing that doesn't show Baby you're a rich man Baby you're a rich man Baby you're a rich man, too You keep all your money in a big brown bag Inside a zoo, what a thing to do Baby you're a rich man Baby you're a rich man Baby you're a rich man, too How does it feel to be One of the beautiful people Tuned to a natural E Happy to be that way Now that you've found another key What are you going to play Baby you're a rich man Baby you're a rich man Baby you're a rich man, too You keep all your money in a big brown bag Inside a zoo, what a thing to do Baby you're a rich man Baby you're a rich man Baby you're a rich man, too"
13,"""Baby's in Black""","UK: Beatles for Sale
 US: Beatles '65",Lennon-McCartney,"Lennon
 McCartney",1964,"Oh dear, what can I do? Baby's in black and I'm feeling blue Tell me, oh what can I do? She thinks of him And so she dresses in black And though he'll never come back She's dressed in black Oh dear, what can I do? Baby's in black and I'm feeling blue Tell me, oh what can I do? I think of her But she only thinks of him And though it's only a whim She thinks of him Oh how long will it take Till she sees the mistake she has made? Dear, what can I do? Baby's in black and I'm feeling blue Tell me, oh what can I do? Oh how long it will take Till she sees the mistake she has made? Dear, what can I do? Baby's in black and I'm feeling blue Tell me, oh what can I do? She thinks of him And so she dresses in black And though he'll never come back She's dressed in black Oh dear, what can I do? Baby's in black and I'm feeling blue Tell me, oh what can I do?"
14,"""Back in the U.S.S.R.",The Beatles,McCartney,McCartney,1968,"Flew in from Miami Beach BOAC Didn't get to bed last night On the way the paper bag was on my knee Man, I had a dreadful flight I'm back in the USSR You don't know how lucky you are, boy Back in the USSR, yeah Been away so long I early knew the place Gee, it's good to be back home Leave it till tomorrow to unpack my case Honey disconnect the phone I'm back in the USSR You don't know how lucky you are, boy Back in the US Back in the US Back in the USSR Well the Ukraine girls really knock me out They leave the west behind And Moscow girls make me sing and shout That Georgia's always on my my my my my my my my my mind Oh, come on Hu hey hu, hey, ah, yeah Yeah, yeah, yeah I'm back in the USSR You don't know how lucky you are, boys Back in the USSR Well the Ukraine girls really knock me out They leave the west behind And Moscow girls make me sing and shout That Georgia's always on my my my my my my my my my mind Oh, show me round your snow peaked Mountain way down south Take me to your daddy's farm Let me hear your balalaika's ringing out Come and keep your comrade warm I'm back in the USSR Hey, you don't know how lucky you are, boy Back in the USSR Oh, let me tell you honey"
15,"""Bad to Me""",The Beatles Bootleg Recordings 1963,Lennon,Lennon,1963,"If you ever leave me, I'll be sad and blue Don't you ever leave me, I'm so in love with you The birds in the sky would be sad and lonely If they knew that I'd lost my one and only They'd be sad if you're bad to me The leaves on the trees would be softly sighin' If they heard form the breeze that you left me cryin' They'd be sad, don't be bad to me But I know you won't leave me 'cause you told me so And I've no intention of letting you go Just as long as you let me know, you won't be bad to me So the birds in the sky won't be sad and lonely 'Cause they know that I got my one and only They'll be glad, you're not bad to me But I know you won't leave me 'cause you told me so And I've no intention of letting you go Just as long as you let me know, you won't be bad to me So the birds in the sky won't be sad and lonely 'Cause they know that I got my one and only They'll be glad, you're not bad to me They'll be glad, you're not bad to me, to me, to me"
16,"""The Ballad of John and Yoko""","UK: 1967–1970
 US: Hey Jude",Lennon,"Lennon
 (with McCartney)",1969,"Standing in the dock at Southampton Trying to get to Holland or France The man in the mac said You've got to go back You know they didn't even give us a chance Christ you know it ain't easy You know how hard it can be The way things are going They're going to crucify me Finally made the plane into Paris Honeymooning down by the Seine Peter Brown call to say You can make it O.K. You can get married in Gibraltar near Spain Christ you know it ain't easy You know how hard it can be The way things are going They're going to crucify me Drove from Paris to the Amsterdam Hilton Talking in our beds for a week The newspapers said Say what're you doing in bed I said we're only trying to get us some peace Christ you know it ain't easy You know how hard it can be The way things are going They're going to crucify me Saving up your money for a rainy day Giving all your clothes to charity Last night the wife said Oh boy when you're dead You don't take nothing with you but your soul, think Made a lightning trip to Vienna Eating chocolate cake in a bag The newspapers said She's gone to his head They look just like two gurus in drag Christ you know it ain't easy You know how hard it can be The way things are going They're going to crucify me Caught the early plane back to London Fifty acorns tied in a sack The men from the press Said we wish you success It's good to have the both of you back Christ you know it ain't easy You know how hard it can be The way things are going They're going to crucify me The way things are going They're going to crucify me"
17,"""Because""",Abbey Road,Lennon,"Lennon
 McCartney
 Harrison[26]",1969,"Because the world is round it turns me on Because the world is round, ah Because the wind is high it blows my mind Because the wind is high, ah Love is old, love is new Love is all, love is you Because the sky is blue, it makes me cry Because the sky is blue, ah Ah"
18,"""Because I Know You Love Me So""",Let It Be... Naked - Fly on the Wall bonus disc,Lennon-McCartney,"Lennon
 McCartney",1969,Wake up in the morning I don't feel blue 'Cause I know I got you Get a funny feeling all day and night I get the funny feeling you don't treat me right Should have read your letters And then I'd know I would have felt much better Because I know you love me so Wake up in the morning I don't feel blue 'Cause I know I got you Get a funny feeling all day and night I get the funny feeling you don't treat me right  Should have read your letters And then I'd know I would have felt much better Because I know you love me so
19,"""Being for the Benefit of Mr. Kite!""",Sgt. Pepper's Lonely Hearts Club Band,Lennon-McCartney,Lennon,1967,For the benefit of Mr. Kite There will be a show tonight on trampoline The Hendersons will all be there Late of Pablo Fanques Fair-what a scene Over men and horses hoops and garters Lastly through a hogshead of real fire! In this way Mr. K. will challenge the world! The celebrated Mr. K. Performs his feat on Saturday at Bishops Gate The Hendersons will dance and sing As Mr. Kite fly's through the ring don't be late Messrs. K and H. assure the public Their production will be second to none And of course Henry The Horse dances the waltz! The band begins at ten to six When Mr. K. performs his tricks without a sound And Mr. H. will demonstrate Ten summer sets he'll undertake on solid ground Having been some days in preparation A splendid time is guaranteed for all And tonight Mr. Kite is topping the bill
20,"""Birthday""",The Beatles,Lennon-McCartney,"McCartney
 (with Lennon)",1968,"They say it's your birthday It's my birthday too, yeah They say it's your birthday We're gonna have a good time I'm glad it's your birthday Happy birthday to you Ah Ah Ah Come on Come on Yes we're going to a party party Yes we're going to a party party Yes we're going to a party party I would like you to dance (Birthday) Take a cha-cha-cha-chance (Birthday) I would like you to dance (Birthday) Dance yeah Oh Come on I would like you to dance (Birthday) Take a cha-cha-cha-chance (Birthday) I would like you to dance (Birthday) Oh dance! Dance They say it's your birthday Well it's my birthday too, yeah They say it's your birthday We're gonna have a good time I'm glad it's your birthday Happy birthday to you"
21,"""Blackbird""",The Beatles,McCartney,McCartney,1968,"Blackbird singing in the dead of night Take these broken wings and learn to fly All your life You were only waiting for this moment to arise Blackbird singing in the dead of night Take these sunken eyes and learn to see All your life You were only waiting for this moment to be free Blackbird fly, blackbird fly Into the light of the dark black night Blackbird fly, blackbird fly Into the light of the dark black night Blackbird singing in the dead of night Take these broken wings and learn to fly All your life You were only waiting for this moment to arise You were only waiting for this moment to arise You were only waiting for this moment to arise"
23,"""Can't Buy Me Love""","UK: A Hard Day's Night
 US: Hey Jude",McCartney,"McCartney
 (with Lennon)",1964,"Can't buy me love, love Can't buy me love I'll buy you a diamond ring my friend if it makes you feel alright I'll get you anything my friend if it makes you feel alright Cos I don't care too much for money, and money can't buy me love I'll give you all I got to give if you say you'll love me too I may not have a lot to give but what I got I'll give to you I don't care too much for money, money can't buy me love Can't buy me love, everybody tells me so Can't buy me love, no no no, no Say you don't need no diamond ring and I'll be satisfied Tell me that you want the kind of thing that money just can't buy I don't care too much for money, money can't buy me love Owww Can't buy me love, everybody tells me so Can't buy me love, no no no, no Say you don't need no diamond ring and I'll be satisfied Tell me that you want the kind of thing that money just can't buy I don't care too much for money, money can't buy me love Can't buy me love, love Can't buy me love"
24,"""Carry That Weight""",Abbey Road,McCartney,"McCartney
 (with Lennon, Harrison, and Starr)[33]",1969,"Boy, you gotta carry that weight Carry that weight a long time Boy, you gonna carry that weight Carry that weight a long time I never give you my pillow I only send you my invitation And in the middle of the celebrations I break down Boy, you gotta carry that weight Carry that weight a long time Boy, you gotta carry that weight You're gonna carry that weight along time"
26,"""Child of Nature""",Let It Be... Naked - Fly on the Wall bonus disc,Lennon,Lennon,1968,"On the road to Rishikesh I was dreaming more or less And the dream I had was true Yes, the dream I had was true I'm just a child of nature I don't need much to set me free I'm just child of nature I'm one of nature's children Sunlight shining in your eyes As I face the desert skies And my thoughts return to home Yes, my thoughts return to home I'm just a child of nature I don't need much to set me free I'm just a child of nature I'm one nature's children Underneath the mountain ranges Where the wind that never changes Touch the windows of my soul Touch the windows of my soul I'm just a child of nature I don't need much to set me free I'm just a child of nature I'm one of nature's children"
29,"""Come and Get It""",Anthology 3,McCartney,McCartney,1969,"If you want it  Here it is,  Come and get it.  Make your mind up fast. If you want it  Anytime I can give it  But you better hurry  Cause it may not last. Did I hear you say  That there must be a catch  Will you walk away  From a fool and his money If you want it,  Here it is,  Come and get it,  But you better hurry  Cause it's going fast. If you want it  Here it is,  Come and get it,  Make your mind up fast. If you want it  Anytime I can give it,  But you'd better hurry  Cause it may not last. Did I hear you say  That there must be a catch  Will you walk away  From a fool and his money Sonny, if you want it,  Here it is,  Come and get it  But you'd better hurry  Cause it's going fast.  You'd better hurry  Cause it's going fast. Fool and his money. Sonny, if you want it,  Here it is,  Come and get it,  But you'd better hurry  Cause it's going fast,  You'd better hurry  Cause it's going fast,  You'd better hurry  Cause it's going fast."
30,"""Come Together""",Abbey Road,Lennon,Lennon,1969,"Here come old flat top He come grooving up slowly He got joo joo eyeball He one holy roller He got hair down to his knee Got to be a joker he just do what you please. He wear no shoe shine He got toe jam football He got monkey finger He shoot Coca-Cola He say I know you, you know me One thing I can tell you is you got to be free Come together right now over me He bag production He got walrus gumboot He got Ono sideboard He one spinal cracker He got feet down below his knee Hold you in his armchair you can feel his disease Come together right now over me Right! Come Come... Come... Come... He roller coaster He got early warning He got Muddy Water He one Mojo filter He say. ""One and one and one is three"" Got to be good looking 'cause he so hard to see Come together right now over me Oh! Come together Yeah Come together Yeah Come together Yeah Come together Yeah Come together Yeah Come together Yeah Come together Yeah Ahh Come together Yeah Come together..."
31,"""The Continuing Story of Bungalow Bill""",The Beatles,Lennon,Lennon,1968,"Hey, Bungalow Bill What did you kill Bungalow Bill? He went out tiger hunting with his elephant and gun In case of accidents he always took his mom He's the all American bullet-headed saxon mother's son. All the children sing Hey Bungalow Bill What did you kill Bungalow Bill? Deep in the jungle where the mighty tiger lies Bill and his elephants were taken by surprise So Captain Marvel zapped in right between the eyes All the children sing Hey, Bungalow Bill  What did you kill Bungalow Bill? The children asked him if to kill was not a sin Not when he looked so fierce, his mother butted in  If looks could kill it would have been us instead of him All the children sing Hey, Bungalow Bill What did you kill Bungalow Bill?"
32,"""Cry Baby Cry”",The Beatles,Lennon,"Lennon
 (with McCartney)",1968,Cry baby cry Make your mother sigh She's old enough to know better. The King of Marigold was in the kitchen Cooking breakfast for the Queen The Queen was in the parlor Playing piano for the children of the King. Cry baby cry Make your mother sigh She's old enough to know better. So cry baby cry. The King was in the garden Picking flowers for a friend who came to play The Queen was in the playroom Painting pictures for the children's holiday. Cry baby cry Make your mother sigh She's old enough to know better. So cry baby cry. The Dutchess of Kircaldy always smiling And arriving late for tea The Duke was having problems With a message at the local Bird and Bee. Cry baby cry Make your mother sigh She's old enough to know better. So cry baby cry. At twelve o'clock a meeting round the table For a seance in the dark With voices out of nowhere Put on specially by the children for a lark. Cry baby cry Make your mother sigh She's old enough to know better. So cry baby cry cry cry cry baby Make your mother sigh. She's old enough to know better Cry baby cry Cry cry cry Make your mother sigh She's old enough to know better. So cry baby cry.
34,"""A Day in the Life""",Sgt. Pepper's Lonely Hearts Club Band,Lennon-McCartney,"Lennon
 McCartney",1967,"I read the news today, oh boy About a lucky man who made the grade And though the news was rather sad Well, I just had to laugh I saw the photograph He blew his mind out in a car; He didn't notice that the lights had changed A crowd of people stood and stared They'd seen his face before Nobody was really sure if he was from the House of Lords I saw a film today, oh boy; The English army had just won the war A crowd of people turned away But I just had to look Having read the book I'd love to turn you on Woke up, fell out of bed Dragged a comb across my head Found my way downstairs and drank a cup And looking up, I noticed I was late Found my coat and grabbed my hat Made the bus in seconds flat Found my way upstairs and had a smoke And somebody spoke and I went into a dream Ah I read the news today, oh boy Four thousand holes in Blackburn, Lancashire And though the holes were rather small They had to count them all Now they know how many holes it takes to fill the Albert Hall I'd love to turn you on"
35,"""Day Tripper""","UK: A Collection of Beatles Oldies
 US: Yesterday and Today",Lennon-McCartney,"Lennon
 McCartney",1965,"Got a good reason For taking the easy way out Got a good reason For taking the easy way out now She was a day tripper One way ticket, yeah It took me so long to find out And I found out She's a big teaser She took me half the way there She's a big teaser She took me half the way there, now She was a day tripper One way ticket, yeah It took me so long to find out And I found out Ah, ah, ah, ah, ah, ah Tried to please her She only played one night stand Tried to please her She only played one night stand, now She was a day tripper Sunday driver, yeah It took me so long to find out And I found out Day tripper, day tripper, yeah Day tripper, day tripper, yeah Day tripper, day tripper, yeah"
36,"""Dear Prudence""",The Beatles,Lennon,Lennon,1968,"Dear Prudence, won't you come out to play Dear Prudence, greet the brand new day The sun is up, the sky is blue It's beautiful and so are you Dear Prudence won't you come out to play Dear Prudence open up your eyes Dear Prudence see the sunny skies The wind is low the birds will sing That you are part of everything Dear Prudence won't you open up your eyes? Look around round Look around round round Look around Dear Prudence let me see you smile Dear Prudence like a little child The clouds will be a daisy chain So let me see you smile again Dear Prudence won't you let me see you smile? Dear Prudence, won't you come out to play Dear Prudence, greet the brand new day The sun is up, the sky is blue It's beautiful and so are you Dear Prudence won't you come out to play"
37,"""Dig a Pony""",Let It Be,Lennon,Lennon,1969,"I dig a pony Well, you can celebrate anything you want Yes, you can celebrate anything you want Oh I do a road hog Well, you can penetrate any place you go Yes, you can penetrate any place you go I told you so All I want is you Everything has got to be just like you want it to Because I pick a moon dog Well, you can radiate everything you are Yes, you can radiate everything you are Oh now I roll a stoney Well, you can imitate everyone you know Yes, you can imitate everyone you know I told you so All I want is you Everything has got to be just like you want it to Because (woo) Oh now I feel the wind blow Well, you can indicate everything you see Yes, you can indicate everything you see Oh now I load a lorry Well, you can syndicate any boat you row Yeah, you can syndicate any boat you row I told you so All I want is you Everything has got to be just like you want it to Because"
39,"""Do You Want to Know a Secret?""","UK: Please Please Me
 US: The Early Beatles",Lennon,Harrison,1963,You'll never know how much I really love you You'll never know how much I really care Listen do you want to know a secret Do you promise not to tell woh woh woh closer Let me whisper in your ear Say the words you long to hear I'm in love with you oo I've known the secret for a week or two Nobody knows just we two Listen do you want to know a secret Do you promise not to tell woh woh woh closer Let me whisper in your ear Say the words you long to hear I'm in love with you oo
40,"""Doctor Robert""","UK: Revolver
 US: Yesterday and Today",Lennon-McCartney,Lennon,1966,"Ring, my friend, I said you'd call Doctor Robert Day or night he'll be there any time at all Doctor Robert Doctor Robert You're a new and better man He helps you to understand He does everything he can Doctor Robert If you're down, he'll pick you up Doctor Robert Take a drink from his special cup Doctor Robert Doctor Robert He's a man you must believe Helping anyone in need No one can succeed like Doctor Robert Well, well, well, you're feeling fine Well, well, well, he'll make you Doctor Robert My friend works for the National Health Doctor Robert You'll pay money just to see yourself With Doctor Robert Doctor Robert You're a new and better man He helps you to understand He does everything he can Doctor Robert Well, well, well, you're feeling fine Well, well, well, he'll make you Doctor Robert Ring, my friend, I said you'd call Doctor Robert Ring my friend I said you'd call Doctor Robert Doctor Robert"
42,"""Don't Let Me Down""","UK: 1967–1970
 US: Hey Jude",Lennon,Lennon,1969,"Don't let me down, don't let me down Don't let me down, don't let me down Nobody ever loved me like she does Oh, she does, yeah, she does And if somebody loved me like she do me Oh, she do me, yes, she does Don't let me down, don't let me down Don't let me down, don't let me down I'm in love for the first time Don't you know it's gonna last It's a love that lasts forever It's a love that had no past Don't let me down, don't let me down Don't let me down, don't let me down And from the first time that she really done me Oh, she done me, she done me good I guess nobody ever really done me Oh, she done me, she done me good Don't let me down, hey, don't let me down Heee! Don't let me down Don't let me down Don't let me down, don't let me let down Can you dig it? Don't let me down"
43,"""Drive My Car""","UK: Rubber Soul
 US: Yesterday and Today",Lennon-McCartney,"McCartney
 (with Lennon)",1965,"Asked a girl what she wanted to be She said baby, can't you see I want to be famous, a star on the screen But you can do something in between Baby you can drive my car Yes I'm gonna be a star Baby you can drive my car And maybe I'll love you I told a girl that my prospects were good And she said baby, it's understood Working for peanuts is all very fine But I can show you a better time Baby you can drive my car Yes I'm gonna be a star Baby you can drive my car And maybe I'll love you Beep beep'm beep beep yeah Baby you can drive my car Yes I'm gonna be a star Baby you can drive my car And maybe I'll love you I told a girl I can start right away And she said listen babe I got something to say I got no car and it's breaking my heart But I've found a driver and that's a start Baby you can drive my car Yes I'm gonna be a star Baby you can drive my car And maybe I'll love you Beep beep'm beep beep yeah Beep beep'm beep beep yeah Beep beep'm beep beep yeah Beep beep'm beep beep yeah"
44,"""Eight Days a Week""","UK: Beatles for Sale
 US: Beatles VI",Lennon-McCartney,"Lennon
 (with McCartney)",1964,"Ooh, I need your love, babe Guess you know it's true Hope you need my love, babe Just like I need you Hold me, love me, hold me, love me Ain't got nothing but love, babe Eight days a week. Love you every day, girl Always on my mind One thing I can say, girl Love you all the time Hold me, love me, hold me, love me Ain't got nothing but love, girl Eight days a week. Eight days a week I love you Eight days a week Is not enough to show I care Ooh, I need your love, babe Guess you know it's true Hope you need my love, babe Just like I need you Hold me, love me, hold me, love me Ain't got nothing but love, babe Eight days a week Eight days a week I love you Eight days a week Is not enough to show I care Love you every day, girl Always on my mind One thing I can say, girl Love you all the time Hold me, love me, hold me, love me Ain't got nothing but love, babe Eight days a week Eight days a week Eight days a week"
45,"""Eleanor Rigby""",Revolver,Lennon-McCartney,McCartney,1966,"Ah look at all the lonely people Ah look at all the lonely people Eleanor Rigby, picks up the rice In the church where a wedding has been Lives in a dream Waits at the window, wearing the face That she keeps in a jar by the door Who is it for All the lonely people Where do they all come from? All the lonely people Where do they all belong? Father McKenzie, writing the words Of a sermon that no one will hear No one comes near Look at him working, darning his socks In the night when there's nobody there What does he care All the lonely people Where do they all come from? All the lonely people Where do they all belong? Ah look at all the lonely people Ah look at all the lonely people Eleanor Rigby, died in the church And was buried along with her name Nobody came Father McKenzie, wiping the dirt From his hands as he walks from the grave No one was saved All the lonely people Where do they all come from? All the lonely people Where do they all belong?"
46,"""The End""",Abbey Road,McCartney,McCartney,1969,"Oh yeah, all right Are you going to be in my dreams Tonight? And in the end The love you take Is equal to the love you make"
47,"""Every Little Thing""","UK: Beatles for Sale
 US: Beatles VI",McCartney,"Lennon
 (with McCartney)",1964,"When I'm walking beside her People tell me I'm lucky Yes, I know I'm a lucky guy I remember the first time I was lonely without her Can't stop thinking about her now Every little thing she does, She does for me, yeah And you know the things she does, She does for me, oooh When I'm with her I'm happy Just to know that she loves me Yes, I know that she loves me now There is one thing I'm sure of, I will love her forever For I know love will never die Every little thing she does, She does for me, yeah And you know the things she does, She does for me, ooh Every little thing she does, She does for me, yeah And you know the things she does, She does for me, ooh Every little thing Every little thing Every little"
48,"""Everybody's Got Something to Hide Except Me and My Monkey""",The Beatles,Lennon,Lennon,1968,"Come on come on, come on come on Come on its such a joy Come on its such a joy Come on let's take it easy Come on let's take it easy Take it easy take it easy Everybody's got something to hide except for me and My monkey The deeper you go, the higher you fly The higher you fly, the deeper you go So come on come on Come on its such a joy Come on its such a joy Come on let's make it easy Come on let's make it easy Take it easy, take it easy Everybody's got something to hide except for me and My monkey Your inside is out when your outside is in Your outside is in when your inside is out So come on come on Come on its such a joy Come on its such a joy Come on let's make it easy Come on let's make it easy Make it easy, make it easy Everybody's got something to hide except for me and My monkey"
49,"""Fixing a Hole""",Sgt. Pepper's Lonely Hearts Club Band,McCartney,McCartney,1967,I'm fixing a hole where the rain gets in And stops my mind from wandering Where it will go I'm filling the cracks that ran through the door And kept my mind from wandering Where it will go And it really doesn't matter if I'm wrong I'm right Where I belong I'm right Where I belong. See the people standing there who disagree and never win And wonder why they don't get in my door I'm painting my room in the colourful way And when my mind is wandering There I will go And it really doesn't matter if I'm wrong I'm right Where I belong I'm right Where I belong. Silly people run around they worry me And never ask me why they don't get past my door I'm taking the time for a number of things That weren't important yesterday And I still go I'm fixing a hole where the rain gets in And stops my mind from wandering Where it will go
50,"""Fancy My Chances with You""",Let It Be... Naked - Fly on the Wall bonus disc,Lennon-McCartney,"Lennon
 McCartney",1969,"I fancy my chances with you, I fancy my chances with you I fancy my chances, I fancy my chances, I fancy my chances with you I fancy my chances at the Loch, I fancy my chances at your frock I fancy my chances, I fancy my chances, I fancy my chances with you Oh I fancy my chances with you, I fancy my chances with you I fancy my chances, I fancy my chances, I fancy my chances with you"
52,"""The Fool on the Hill""",Magical Mystery Tour,McCartney,McCartney,1967,"Day after day, alone on a hill The man with the foolish grin is sitting perfectly still Nobody wants to know him They can see that he's just a fool But he never gives an answer But the fool on the hill Sees the sun going down And the eyes in his head See the world spinning round His head in a cloud The man with a foolish grin is talking perfectly loud But nobody wants to hear him They can see that he's just a fool But he never gives an answer But the fool on the hill Sees the sun going down And the eyes in his head See the world spinning round But nobody wants to know him They can see that he's just a fool But he never gives an answer But the fool on the hill Sees the sun going down And the eyes in his head See the world spinning round But the fool on the hill Sees the sun going down And the eyes in his head See the world spinning round"
